ID,ideology,leadership,name,party,description,introduced_bills_116,cosponsored_bills_116,unique_cosponsors_116,total_cosponsors_116
412190,0.39749614250840454,0.7249245263991939,McCarthy,Republican,centrist Republican leader,5,3,12,13
412501,0.22588470983228562,0.5333739581616475,Bonamici,Democrat,rank-and-file Democrat,6,248,97,133
412601,0.86459733028518,0.6486206710460309,Byrne,Republican,conservative Republican,6,86,92,98
412517,0.27075609906455805,0.7668337325167726,Cárdenas,Democrat,moderate Democratic leader,10,173,146,275
412258,0.2117320359780317,0.5429265539155603,Carson,Democrat,rank-and-file Democrat,3,163,15,15
412236,0.14680178377809014,0.7666851864363584,Cohen,Democrat,progressive Democratic leader,15,458,138,293
400103,0.20138449910558875,0.922937187825664,DeLauro,Democrat,moderate Democratic leader,16,176,240,836
400209,0.8599587286522132,0.5034946859285786,Jones,Republican,conservative Republican,3,76,0,0
412566,0.708482705929711,0.5530540846563395,Joyce [OH14],Republican,rank-and-file Republican,7,87,113,137
412649,0.6216991980707823,0.6420341507603423,Katko,Republican,rank-and-file Republican,15,121,57,80
412583,0.412770694430365,0.6476972076778992,Kilmer,Democrat,centrist Democrat,17,247,109,155
400232,0.23751724481009043,0.5090889343141944,Larsen,Democrat,rank-and-file Democrat,4,124,81,100
412209,0.4481722483288188,0.385664754522141,Loebsack,Democrat,centrist Democrat,4,101,18,18
412487,0.7543377014357835,0.8819824201922651,McKinley,Republican,moderate Republican leader,5,87,185,231
412662,0.8777963232363416,0.6604873668096467,Mooney,Republican,conservative Republican,8,125,116,127
412647,0.32567905141865106,0.4457855876006428,Rice [NY4],Democrat,rank-and-file Democrat,11,218,70,88
412514,0.2310486209698203,0.5746358724497596,Swalwell,Democrat,rank-and-file Democrat,3,180,50,59
412317,0.80176399813791,0.6336626696037904,Thompson [PA15],Republican,rank-and-file Republican,5,89,35,41
412318,0.2534261017934865,0.66906969587392,Titus,Democrat,rank-and-file Democrat,9,187,180,276
412548,0.7857102254306095,0.7958214960324708,Wagner,Republican,moderate Republican leader,5,77,190,252
412646,0.6813694505307234,0.7589539511506758,Zeldin,Republican,moderate Republican leader,17,107,143,210
412631,0.6117955426181647,0.5094953972648598,Graves [LA6],Republican,rank-and-file Republican,6,30,27,30
412571,0.3080809573558545,0.8552456599551932,Cartwright,Democrat,moderate Democratic leader,9,174,101,157
412600,0.19005368631781938,0.7998778615480392,Clark,Democrat,progressive Democratic leader,6,131,153,218
412272,0.31793362808913905,0.8511368104717653,Connolly,Democrat,moderate Democratic leader,18,195,277,475
412435,0.2997428293897928,0.4593297103833253,Keating,Democrat,rank-and-file Democrat,4,92,35,35
400230,0.25496996376722275,0.6740992222332935,Langevin,Democrat,rank-and-file Democrat,9,164,82,96
400245,0.2423281169961043,0.8248520359288383,Lofgren,Democrat,moderate Democratic leader,11,233,295,389
400077,0.8124182695091248,0.4737044135051338,Cole,Republican,rank-and-file Republican,6,196,28,28
412607,0.21684467028622362,0.6765673498058079,Adams,Democrat,rank-and-file Democrat,9,112,150,232
